R_fighter,B_fighter,B_current_lose_streak,B_current_win_streak,B_draw,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,Winner
Stephan Bonnar,James Irvin,0,1,0,3,212,0,0,0,0,1,0,0,1,Orthodox,187.96,190.5,205,0,1,0,6,900,1,0,0,1,0,0,0,1,Orthodox,193.04,198.12,205,27,28,0
Joshua Burkman,Drew Fickett,0,2,0,5,414.3333333,0,0,0,0,0,2,0,2,Orthodox,177.8,177.8,155,0,1,0,1,21,0,0,0,0,1,0,0,1,Orthodox,177.8,182.88,170,26,25,0
Chris Leben,Jorge Rivera,0,1,0,10,693.25,0,0,0,2,0,0,0,2,Orthodox,185.42,185.42,185,0,3,0,5,400.3333333,0,0,1,0,1,1,0,3,Southpaw,180.34,187.96,185,33,25,0
Josh Neer,Melvin Guillard,0,1,0,2,475,0,0,0,0,0,0,1,1,Orthodox,175.26,172.72,155,1,0,0,1,95,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,170,22,22,0
Duane Ludwig,Jonathan Goulet,0,1,0,3,665,0,0,0,0,0,0,1,1,Orthodox,182.88,185.42,170,0,1,0,3,900,0,0,0,1,0,0,0,1,Orthodox,177.8,177.8,170,26,27,0
Spencer Fisher,Aaron Riley,1,0,0,3,900,0,0,0,0,0,0,0,0,Southpaw,172.72,175.26,155,0,1,0,2,583,0,0,0,0,0,1,0,1,Southpaw,170.18,177.8,155,25,29,0
Jason Von Flue,Alex Karalexis,1,0,0,3,286,0,0,0,0,1,0,0,1,Orthodox,172.72,167.64,155,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,,170,28,30,0
Rich Franklin,Nate Quarry,0,3,0,3,132,0,0,0,0,3,0,0,3,Open Stance,182.88,182.88,185,0,5,0,10,502,1,0,0,0,3,1,1,5,Southpaw,185.42,190.5,185,33,31,0
Gabriel Gonzaga,Kevin Jordan,1,0,0,1,240,0,0,0,0,0,0,0,0,Orthodox,190.5,,245,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,187.96,193.04,242,34,26,0
Matt Hughes,Joe Riggs,0,1,0,5,367,0,0,0,0,1,0,1,2,Southpaw,182.88,177.8,185,0,3,0,28,579.6923077,9,0,0,3,3,3,2,11,Switch,175.26,185.42,170,23,32,0
Georges St-Pierre,Sean Sherk,1,0,0,11,810.75,1,0,0,1,0,1,1,3,Orthodox,167.64,170.18,155,0,2,0,9,490,1,0,0,2,1,1,0,4,Orthodox,180.34,193.04,185,32,24,0
Jeremy Horn,Trevor Prangley,0,2,0,5,632.5,0,0,0,1,0,1,0,2,Orthodox,185.42,190.5,185,2,0,0,12,479.25,2,0,0,0,1,3,0,4,Orthodox,185.42,187.96,185,33,30,0
Sam Hoger,Jeff Newton,0,0,0,0,,0,0,0,0,0,0,0,0,Sideways,187.96,,205,1,0,0,6,900,0,0,0,1,0,0,0,1,Orthodox,187.96,,205,38,25,0
