R_fighter,B_fighter,B_current_lose_streak,B_current_win_streak,B_draw,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,Winner
Matthew Lopez,Alejandro Perez,0,2,0,16,633.2857143,1,0,1,2,2,0,0,5,Orthodox,167.64,170.18,135,1,0,0,10,661.5,0,0,0,1,1,0,0,2,Southpaw,170.18,175.26,135,28,31,1
Luke Sanders,Patrick Williams,1,0,0,5,254,0,0,0,0,0,1,0,1,Orthodox,172.72,185.42,135,2,0,0,5,359,0,0,0,0,0,1,0,1,Southpaw,167.64,170.18,135,36,32,0
Khabib Nurmagomedov,Al Iaquinta,0,5,0,23,588.1,1,0,1,3,4,0,0,8,Orthodox,177.8,177.8,155,0,9,0,24,734.6666667,0,0,0,5,2,2,0,9,Orthodox,177.8,177.8,155,30,29,0
Rose Namajunas,Joanna Jedrzejczyk,1,0,0,32,1044.666667,7,0,1,5,2,0,0,8,Orthodox,167.64,165.1,125,0,2,0,18,664,2,0,0,1,1,3,0,5,Orthodox,165.1,165.1,115,30,25,0
Renato Moicano,Calvin Kattar,0,2,0,6,766,0,0,0,1,1,0,0,2,Orthodox,180.34,182.88,145,1,0,0,11,772.25,0,0,2,0,0,1,0,3,Orthodox,180.34,182.88,145,30,28,0
Zabit Magomedsharipov,Kyle Bochniak,0,1,0,12,900,0,0,1,1,0,0,0,2,Orthodox,170.18,177.8,145,0,2,0,5,716,0,0,0,0,0,2,0,2,Orthodox,185.42,185.42,145,31,27,0
Joe Lauzon,Chris Gruetzemacher,2,0,0,8,657,0,0,0,1,0,0,0,1,Orthodox,172.72,172.72,155,2,0,0,50,483.52,0,0,1,1,4,7,1,14,Orthodox,177.8,180.34,155,31,33,1
Karolina Kowalkiewicz,Felice Herrig,0,4,0,15,700.6666667,0,0,1,2,0,2,0,5,Orthodox,162.56,165.1,115,0,1,0,18,880.5,1,0,1,3,0,0,0,4,Orthodox,160.02,162.56,115,33,32,0
Evan Dunham,Olivier Aubin-Mercier,0,3,0,22,752.75,1,0,1,1,0,4,0,6,Southpaw,175.26,177.8,155,1,0,0,46,730.2777778,0,0,3,5,1,1,1,11,Southpaw,177.8,177.8,155,29,36,1
Bec Rawlings,Ashlee Evans-Smith,2,0,0,11,607.2,0,0,1,0,1,0,0,2,Orthodox,172.72,170.18,125,3,0,0,15,694.3333333,0,0,0,1,0,1,0,2,Orthodox,167.64,162.56,125,30,29,1
Devin Clark,Mike Rodriguez,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,193.04,208.28,205,1,0,0,9,644.75,0,0,0,2,0,0,0,2,Orthodox,182.88,190.5,205,29,27,0
Fabricio Werdum,Alexander Volkov,0,3,0,9,870,0,0,1,1,1,0,0,3,Orthodox,200.66,203.2,250,0,2,0,36,637.0666667,3,0,0,4,4,3,0,11,Orthodox,193.04,195.58,231,29,40,1
Jimi Manuwa,Jan Blachowicz,0,2,0,21,750,0,0,0,2,1,1,0,4,Orthodox,187.96,198.12,205,1,0,0,16,419.1111111,0,0,0,1,3,0,2,6,Orthodox,185.42,200.66,205,35,38,1
Tom Duquesnoy,Terrion Ware,2,0,0,6,900,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,135,1,0,0,5,614,0,0,0,0,1,0,0,1,Orthodox,170.18,172.72,135,31,24,0
Leon Edwards,Peter Sobotta,0,2,0,19,655.875,0,0,0,2,1,1,0,4,Southpaw,182.88,190.5,170,0,4,0,22,773.625,0,0,0,4,1,1,0,6,Southpaw,182.88,187.96,170,31,26,0
John Phillips,Charles Byrd,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,185,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,180.34,190.5,185,34,32,1
Danny Roberts,Oliver Enkamp,1,0,0,3,900,0,0,0,0,0,0,0,0,Switch,182.88,195.58,170,1,0,0,10,508.8,0,0,0,1,1,1,0,3,Southpaw,185.42,187.96,170,26,30,0
Danny Henry,Hakeem Dawodu,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,172.72,185.42,145,0,1,0,3,900,0,0,0,1,0,0,0,1,Orthodox,182.88,185.42,145,26,29,0
Paul Craig,Magomed Ankalaev,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,190.5,190.5,205,2,0,0,4,321.6666667,0,0,0,0,0,1,0,1,Orthodox,190.5,193.04,205,25,30,0
Stevie Ray,Kajan Johnson,0,3,0,12,792.5,0,0,0,2,1,0,0,3,Orthodox,180.34,190.5,155,1,0,0,16,626,0,1,1,1,2,0,0,5,Southpaw,177.8,177.8,155,33,27,1
Mark Godbeer,Dmitry Sosnovskiy,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,190.5,195.58,240,0,2,0,5,435,0,0,0,1,0,0,0,2,Orthodox,193.04,195.58,240,28,34,1
Cris Cyborg,Yana Kunitskaya,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,135,0,4,0,11,686.5,2,0,0,1,3,0,0,4,Orthodox,172.72,172.72,145,28,32,0
Frankie Edgar,Brian Ortega,0,5,0,15,634.5,0,0,0,0,2,3,0,5,Switch,172.72,175.26,145,0,2,0,79,1057.681818,8,0,0,9,4,2,1,16,Orthodox,167.64,172.72,145,27,36,1
Sean O'Malley,Andre Soukhamthath,0,1,0,8,722,0,0,0,0,1,0,0,1,Orthodox,175.26,177.8,135,0,1,0,3,900,0,0,0,1,0,0,0,1,Switch,180.34,182.88,135,29,23,0
Stefan Struve,Andrei Arlovski,0,1,0,47,458.0416667,5,0,1,3,9,2,0,15,Orthodox,190.5,195.58,240,1,0,0,35,427.1052632,0,1,0,1,5,5,0,12,Orthodox,210.82,213.36,265,39,30,1
Cat Zingano,Ketlen Vieira,0,3,0,8,785.3333333,0,0,1,1,0,1,0,3,Orthodox,172.72,172.72,135,2,0,0,10,592.5,1,0,0,0,2,0,0,2,Southpaw,167.64,172.72,145,26,35,1
Ashley Yoder,Mackenzie Dern,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,162.56,160.02,115,2,0,0,6,900,0,0,0,0,0,0,0,0,Southpaw,170.18,175.26,115,24,30,1
Beneil Dariush,Alexander Hernandez,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,155,2,0,0,26,582.6666667,0,0,1,3,1,3,0,8,Southpaw,177.8,182.88,155,25,28,1
John Dodson,Pedro Munhoz,0,4,0,15,461.5,0,0,0,1,1,3,0,5,Orthodox,167.64,165.1,135,1,0,0,34,806.5833333,3,0,0,3,4,0,1,8,Orthodox,160.02,167.64,135,31,33,0
CB Dollaway,Hector Lombard,5,0,0,25,661.2,0,0,0,1,2,0,0,3,Southpaw,175.26,180.34,185,0,1,0,36,499.4444444,1,0,1,5,2,2,0,10,Orthodox,187.96,193.04,185,40,34,0
Mike Pyle,Zak Ottow,1,0,0,10,719.25,0,0,2,0,0,0,0,2,Orthodox,180.34,182.88,170,2,0,0,36,491.8888889,0,0,1,2,5,2,0,10,Orthodox,182.88,187.96,170,31,42,1
Bryan Caraway,Cody Stamann,0,2,0,6,900,0,0,1,1,0,0,0,2,Orthodox,167.64,162.56,135,0,2,0,22,764.125,0,0,1,1,0,4,0,6,Orthodox,172.72,172.72,135,28,33,1
Jordan Johnson,Adam Milstead,1,0,0,4,450,0,0,0,0,1,0,0,1,Orthodox,190.5,193.04,205,0,2,0,6,900,0,0,0,2,0,0,0,2,Orthodox,187.96,200.66,205,30,29,0
Josh Emmett,Jeremy Stephens,0,2,0,73,754.4074074,0,0,1,6,6,0,1,14,Orthodox,172.72,180.34,145,0,2,0,13,774.6,0,0,1,2,1,0,0,4,Orthodox,167.64,177.8,145,31,32,1
Jessica Andrade,Tecia Torres,0,3,0,20,821.8571429,0,0,0,5,0,1,0,6,Orthodox,154.94,152.4,115,0,1,0,29,689.6666667,1,0,1,4,1,2,0,8,Orthodox,154.94,157.48,115,28,26,0
Ovince Saint Preux,Ilir Latifi,0,1,0,16,404.3333333,0,0,0,2,3,1,0,6,Orthodox,177.8,185.42,205,0,3,0,36,592.0666667,1,1,0,1,5,3,0,10,Southpaw,190.5,203.2,205,34,34,1
Mike Perry,Max Griffin,1,0,0,7,564,0,0,0,0,1,0,0,1,Orthodox,180.34,193.04,170,1,0,0,13,557,0,0,0,0,4,0,0,4,Orthodox,177.8,180.34,170,32,26,1
Renan Barao,Brian Kelleher,0,1,0,5,355,0,0,0,0,1,1,0,2,Switch,167.64,167.64,135,1,0,0,40,850.5384615,6,0,0,4,2,3,0,9,Orthodox,167.64,177.8,135,31,31,1
Sara McMann,Marion Reneau,0,1,0,19,770.1428571,0,0,0,1,2,1,0,4,Orthodox,167.64,172.72,135,1,0,0,17,476.3333333,1,0,1,1,1,2,0,5,Orthodox,167.64,167.64,135,40,37,1
Maryna Moroz,Angela Hill,1,0,0,16,777.8333333,0,0,0,2,0,0,0,2,Orthodox,160.02,162.56,115,0,2,0,10,697.5,0,0,1,1,0,1,0,3,Orthodox,170.18,170.18,125,33,26,1
Ben Saunders,Alan Jouban,2,0,0,19,476.2,0,0,0,3,3,0,0,6,Southpaw,182.88,185.42,170,1,0,0,27,523.5384615,0,0,1,2,2,3,0,8,Orthodox,187.96,195.58,170,36,34,1
Sam Alvey,Marcin Prachnio,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,190.5,187.96,205,1,0,0,28,584.3846154,0,0,1,2,4,1,0,8,Southpaw,187.96,190.5,205,29,31,0
Rani Yahya,Russell Doane,0,1,0,14,562.5714286,0,0,1,0,1,1,0,3,Orthodox,170.18,177.8,135,0,1,0,32,679.8461538,0,0,1,4,0,4,0,9,Orthodox,167.64,170.18,135,31,33,0
Eric Shelton,Alex Perez,0,1,0,2,414,0,0,0,0,0,1,0,1,Orthodox,167.64,165.1,135,0,1,0,9,900,0,0,0,1,0,0,0,1,Orthodox,167.64,172.72,125,25,27,1
Albert Morales,Manny Bermudez,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,135,2,0,0,14,799.4,0,0,1,0,0,0,0,1,Orthodox,175.26,182.88,135,23,26,1
Donald Cerrone,Yancy Medeiros,0,3,0,20,423.4545455,0,0,1,0,2,3,0,6,Orthodox,177.8,190.5,155,3,0,0,54,535.8076923,1,0,0,6,8,5,0,19,Orthodox,185.42,185.42,155,30,34,0
Derrick Lewis,Marcin Tybura,1,0,0,16,895.8,0,0,0,1,2,0,0,3,Orthodox,190.5,198.12,249,1,0,0,25,508.75,0,0,1,0,8,0,0,9,Orthodox,190.5,200.66,260,32,33,0
James Vick,Francisco Trinaldo,0,1,0,39,680.5625,0,0,1,6,2,2,1,12,Southpaw,175.26,177.8,155,0,3,0,18,523.7777778,0,0,0,3,2,3,0,8,Orthodox,190.5,193.04,155,39,30,0
Thiago Alves,Curtis Millender,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,187.96,193.04,170,0,1,0,53,653.7272727,1,0,0,5,7,1,1,14,Orthodox,175.26,177.8,170,30,34,1
Steven Peterson,Brandon Davis,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,135,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,145,27,27,1
Sage Northcutt,Thibault Gouti,0,1,0,6,284,0,0,0,0,1,0,0,1,Orthodox,177.8,182.88,155,0,1,0,13,514,0,0,0,2,1,1,0,4,Orthodox,182.88,180.34,170,30,21,0
Ja0 Gordon,Diego Ferreira,0,1,0,10,495.2,0,0,0,1,1,1,0,3,Orthodox,175.26,187.96,155,0,2,0,5,732,0,0,0,1,1,0,0,2,Orthodox,175.26,172.72,155,33,29,1
Geoff Neal,Brian Camozzi,2,0,0,5,536,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,170,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,180.34,190.5,170,26,27,0
Roberto Sanchez,Joby Sanchez,1,0,0,8,789.3333333,0,0,1,0,0,0,0,1,Orthodox,167.64,172.72,135,1,0,0,1,236,0,0,0,0,0,0,0,0,Orthodox,167.64,167.64,125,26,31,0
Sarah Moras,Lucie Pudilova,0,1,0,6,900,0,0,0,1,0,0,0,1,Orthodox,172.72,170.18,125,0,1,0,7,657,0,0,0,1,0,1,0,2,,170.18,170.18,135,23,29,1
Joshua Burkman,Alex Morono,2,0,0,11,825,0,0,1,1,0,0,0,2,Orthodox,180.34,182.88,170,4,0,0,44,665.3333333,0,0,1,3,1,1,0,6,Orthodox,177.8,182.88,170,27,37,1
Oskar Piechota,Tim Williams,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,187.96,193.04,185,0,1,0,3,900,0,0,0,1,0,0,0,1,Southpaw,182.88,193.04,185,31,28,0
Yoel Romero,Luke Rockhold,0,1,0,14,386.5,2,0,0,0,3,3,0,6,Southpaw,190.5,195.58,185,1,0,0,27,763.7777778,1,0,1,1,6,0,0,8,Southpaw,182.88,185.42,185,33,40,0
Mark Hunt,Curtis Blaydes,0,2,0,11,536,0,0,0,1,1,0,1,3,Orthodox,193.04,203.2,265,0,1,0,39,665.8666667,1,0,0,1,7,0,0,8,Orthodox,177.8,182.88,265,26,43,1
Tai Tuivasa,Cyril Asker,0,1,0,5,220.5,0,0,0,0,1,1,0,2,Orthodox,182.88,187.96,247,0,1,0,1,275,0,0,0,0,1,0,0,1,Southpaw,187.96,190.5,264,32,24,0
Jake Matthews,Li Jingliang,0,3,0,14,507.1428571,0,0,1,0,4,0,0,5,Orthodox,182.88,180.34,170,0,1,0,18,629,0,0,1,0,0,3,1,5,Orthodox,180.34,185.42,170,29,23,0
Tyson Pedro,Saparbeg Safarov,1,0,0,2,474,0,0,0,0,0,0,0,0,Orthodox,185.42,198.12,205,1,0,0,5,465.6666667,0,0,0,0,1,1,0,2,Orthodox,190.5,200.66,205,31,26,0
Damien Brown,Dong Hyun Ma,0,2,0,10,582.25,0,0,0,1,1,0,0,2,Orthodox,180.34,177.8,155,2,0,0,11,612.8,0,0,1,0,1,0,0,2,Orthodox,177.8,172.72,155,29,33,1
Rob Wilkinson,Israel Adesanya,0,0,0,0,,0,0,0,0,0,0,0,0,Switch,193.04,203.2,185,1,0,0,2,490,0,0,0,0,0,0,0,0,Orthodox,190.5,203.2,185,28,25,1
Alexander Volkanovski,Jeremy Kennedy,0,3,0,9,900,0,0,0,3,0,0,0,3,Orthodox,180.34,180.34,145,0,3,0,8,742,0,0,0,2,1,0,0,3,Orthodox,167.64,180.34,145,25,29,0
Jussier Formiga,Ben Nguyen,0,2,0,8,396.8,0,0,0,1,1,2,0,4,Switch,165.1,165.1,125,0,1,0,23,661.9,0,0,0,4,0,2,0,6,Orthodox,165.1,170.18,125,29,32,0
Ross Pearson,Mizuto Hirota,1,0,0,15,900,0,0,0,1,0,0,0,1,Orthodox,170.18,170.18,155,4,0,0,59,704.0434783,1,0,2,4,4,0,1,11,Orthodox,172.72,175.26,155,36,33,0
Teruto Ishihara,Jose Quinonez,0,3,0,10,713.5,1,0,0,2,0,1,0,3,,172.72,175.26,135,0,1,0,15,681,0,0,0,1,2,0,0,3,Southpaw,170.18,175.26,135,27,26,1
Luke Jumeau,Daichi Abe,0,1,0,3,900,0,0,0,1,0,0,0,1,Orthodox,180.34,180.34,170,1,0,0,6,900,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,170,26,29,0
Lyoto Machida,Eryk Anders,0,2,0,4,537,0,0,0,1,1,0,0,2,Southpaw,185.42,190.5,185,3,0,0,56,694.7727273,5,0,1,6,6,1,0,14,Southpaw,185.42,187.96,185,30,39,0
Valentina Shevchenko,Priscila Cachoeira,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,125,1,0,0,18,1073.8,1,0,1,1,0,1,0,3,Southpaw,165.1,167.64,125,29,29,0
Michel Prazeres,Desmond Green,1,0,0,6,900,0,0,1,0,0,0,0,1,Southpaw,177.8,185.42,155,0,5,0,25,787.5555556,0,0,2,3,0,2,0,7,Orthodox,167.64,170.18,170,28,36,0
Tim Johnson,Marcelo Golm,0,1,0,1,128,0,0,0,0,0,1,0,1,Orthodox,190.5,190.5,249,1,0,0,14,678,0,0,1,1,1,0,0,3,Southpaw,190.5,195.58,265,25,32,0
Douglas Silva de Andrade,Marlon Vera,1,0,0,18,714.7142857,0,0,0,1,1,2,0,4,Switch,172.72,177.8,135,1,0,0,11,782.25,0,0,0,1,1,0,0,2,Orthodox,170.18,172.72,135,25,32,0
Thiago Santos,Anthony Smith,0,3,0,15,667.3333333,0,0,0,1,3,0,0,4,Orthodox,193.04,193.04,205,0,3,0,18,323.1666667,0,0,0,1,7,0,0,8,Orthodox,187.96,193.04,205,29,34,0
Sergio Moraes,Tim Means,1,0,0,37,623.5,0,0,1,3,4,1,0,9,Orthodox,187.96,190.5,170,1,0,0,23,709.8888889,1,0,1,2,1,2,0,6,Orthodox,182.88,182.88,170,33,35,0
Alan Patrick,Damir Hadzovic,0,1,0,4,415.5,0,0,0,0,1,0,0,1,Orthodox,175.26,177.8,155,0,2,0,12,664.8,0,0,0,3,1,0,0,4,Southpaw,180.34,187.96,155,31,34,0
Maia Stevenson,Polyana Viana,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,115,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,162.56,157.48,115,25,35,1
Iuri Alcantara,Joe Soto,1,0,0,17,597.5714286,1,0,0,1,0,2,0,3,Orthodox,167.64,165.1,135,2,0,0,37,626.6875,0,0,1,4,2,2,0,9,Southpaw,175.26,180.34,135,30,37,0
Deiveson Figuei0o,Joseph Morales,0,1,0,1,236,0,0,0,0,0,1,0,1,Switch,167.64,175.26,125,0,1,0,3,900,0,0,1,0,0,0,0,1,Orthodox,165.1,172.72,125,23,30,0
Jacare Souza,Derek Brunson,0,2,0,20,371.5,0,0,0,2,6,1,0,9,Southpaw,185.42,195.58,185,1,0,0,16,468.2222222,0,0,0,1,2,4,0,7,Orthodox,185.42,182.88,185,34,38,0
Dennis Bermudez,Andre Fili,0,1,0,21,621.5555556,0,0,0,3,2,0,0,5,Orthodox,180.34,187.96,145,2,0,0,33,650.5,1,0,2,4,1,2,0,9,Orthodox,167.64,167.64,155,27,31,1
Jordan Rinaldi,Gregor Gillespie,0,3,0,6,450.6666667,0,0,0,1,1,1,0,3,Orthodox,170.18,180.34,155,0,1,0,4,510.5,0,0,0,0,0,1,0,1,Orthodox,177.8,182.88,145,31,30,1
Drew Dober,Frank Camacho,0,1,0,3,900,0,0,1,0,0,0,0,1,Orthodox,177.8,185.42,170,0,1,0,17,455.2222222,0,0,0,1,2,1,0,4,Southpaw,172.72,177.8,155,28,29,0
Erik Koch,Bobby Green,4,0,0,20,721,0,0,1,1,1,1,0,4,Orthodox,177.8,180.34,155,1,0,0,16,508.875,0,0,0,1,2,1,0,4,Southpaw,177.8,180.34,155,31,29,1
Mirsad Bektic,Godof0o Pepey,1,0,0,18,471.9,1,0,1,0,1,3,0,5,Orthodox,170.18,185.42,145,1,0,0,12,638.2,0,1,0,1,1,1,0,4,Orthodox,172.72,177.8,145,30,26,0
Katlyn Chookagian,Mara Romero Borella,0,1,0,1,174,0,0,0,0,0,1,0,1,Orthodox,167.64,175.26,125,0,1,0,9,900,0,0,1,1,0,0,0,2,Orthodox,175.26,172.72,125,31,29,0
Randa Markos,Juliana Lima,1,0,0,17,808.8333333,0,0,0,3,0,0,0,3,Orthodox,165.1,165.1,115,1,0,0,19,810.5714286,0,0,1,2,0,0,0,3,Orthodox,162.56,160.02,115,35,32,0
Justine Kish,Ji Yeon Kim,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,170.18,182.88,125,1,0,0,9,900,0,0,0,2,0,0,0,2,Orthodox,165.1,162.56,125,28,29,1
Vinc Pichel,Joaquim Silva,0,3,0,7,611.3333333,0,0,2,0,1,0,0,3,,172.72,175.26,155,0,3,0,8,538,0,0,0,2,1,0,0,3,Orthodox,177.8,182.88,155,28,35,0
Niko Price,George Sullivan,1,0,0,12,662.2,0,0,0,2,1,0,0,3,Orthodox,182.88,185.42,170,1,0,0,6,380.5,0,0,0,0,1,1,0,2,Orthodox,182.88,193.04,170,36,28,0
Austin Arnett,Cory Sandhagen,0,0,0,0,,0,0,0,0,0,0,0,0,Switch,180.34,177.8,135,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,145,25,26,1
Stipe Miocic,Francis Ngannou,0,6,0,8,246.3333333,0,0,0,0,4,1,1,6,Orthodox,193.04,210.82,250,0,5,0,29,561.4615385,3,0,0,3,8,0,0,11,Orthodox,193.04,203.2,240,31,35,0
Daniel Cormier,Volkan Oezdemir,0,3,0,5,323.3333333,0,0,1,0,2,0,0,3,Orthodox,187.96,190.5,205,1,0,0,31,866.9,5,0,1,3,1,3,0,8,Orthodox,180.34,182.88,235,28,38,0
Calvin Kattar,Shane Burgos,0,3,0,9,839.6666667,0,0,0,2,1,0,0,3,Orthodox,180.34,190.5,145,0,1,0,3,900,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,145,26,29,0
Gian Villante,Francimar Barroso,1,0,0,21,748.125,0,0,0,4,0,0,0,4,Orthodox,185.42,190.5,205,2,0,0,28,646.2727273,0,0,1,0,4,0,0,5,Orthodox,190.5,193.04,205,37,32,0
Thomas Almeida,Rob Font,1,0,0,10,439.6666667,0,0,0,0,3,1,0,4,Orthodox,172.72,180.34,135,1,0,0,13,460.1428571,0,0,0,1,4,0,0,5,Southpaw,170.18,177.8,135,30,26,1
Kyle Bochniak,Brandon Davis,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,135,1,0,0,9,900,0,0,1,0,0,0,0,1,Orthodox,170.18,177.8,145,27,30,0
Sabah Homasi,Abdul Razak Alhassan,0,1,0,5,404.6666667,0,0,0,0,2,0,0,2,Orthodox,177.8,185.42,170,2,0,0,3,368.5,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,170,32,29,1
Dustin Ortiz,Alexandre Pantoja,0,2,0,6,825.5,0,0,1,0,0,1,0,2,Orthodox,165.1,170.18,125,0,1,0,30,767.0909091,0,0,3,0,3,0,0,6,Orthodox,165.1,165.1,125,27,29,0
Dan Ige,Julio Arce,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,170.18,177.8,145,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,170.18,180.34,145,28,26,1
Matt Bessette,Enrique Barzola,0,2,0,12,900,1,0,0,3,0,0,0,3,,170.18,177.8,145,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,145,28,33,1
Islam Makhachev,Gleison Tibau,2,0,0,63,676.1538462,0,0,5,6,1,4,0,16,Southpaw,177.8,180.34,155,0,2,0,9,591,0,0,0,2,0,1,0,3,Orthodox,177.8,177.8,155,34,26,0
Jeremy Stephens,Dooho Choi,1,0,0,6,293.25,0,0,0,0,3,0,0,3,Orthodox,177.8,177.8,145,0,1,0,71,765.8846154,0,0,1,6,5,0,1,13,Orthodox,172.72,180.34,145,26,31,0
Paige VanZant,Jessica-Rose Clark,0,1,0,3,900,0,0,1,0,0,0,0,1,Orthodox,165.1,162.56,125,1,0,0,17,699.6666667,0,0,0,1,2,1,0,4,Orthodox,162.56,165.1,115,30,23,1
Kamaru Usman,Emil Meek,0,1,0,3,900,0,0,0,1,0,0,0,1,Switch,180.34,187.96,170,0,6,0,15,691.1666667,1,0,0,4,1,1,0,6,Switch,182.88,193.04,170,29,30,0
Darren Elkins,Michael Johnson,2,0,0,42,673.3529412,1,0,0,5,4,0,0,9,Southpaw,177.8,185.42,145,0,5,0,43,702.2352941,0,0,2,8,3,0,0,13,Orthodox,177.8,180.34,145,31,33,0
James Krause,Alex White,0,1,0,15,682,0,0,0,1,2,0,0,3,Southpaw,182.88,180.34,155,0,3,0,18,638,0,0,0,2,1,2,0,5,Orthodox,187.96,185.42,170,29,31,0
Matt Frevola,Polo Reyes,1,0,0,8,498.25,0,0,1,0,2,0,0,3,,180.34,180.34,155,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,155,33,27,1
Talita Bernardo,Irene Aldana,2,0,0,6,900,0,0,0,0,0,0,0,0,Orthodox,175.26,172.72,135,1,0,0,3,894,0,0,0,0,0,0,0,0,Orthodox,162.56,172.72,135,29,30,1
Kyung Ho Kang,Guido Cannetti,0,1,0,5,652,0,0,0,1,0,0,0,1,Southpaw,167.64,172.72,135,0,2,0,12,883.25,0,0,1,0,0,1,0,2,Orthodox,175.26,185.42,135,38,30,0
Kalindra Faria,Jessica Eye,4,0,0,20,827.1428571,0,0,0,0,0,0,1,1,Orthodox,167.64,167.64,125,1,0,0,1,174,0,0,0,0,0,0,0,0,Switch,170.18,,125,31,31,1
Danielle Taylor,JJ Aldrich,0,1,0,6,900,0,0,0,1,0,0,0,1,Southpaw,165.1,170.18,125,0,2,0,9,900,0,0,1,1,0,0,0,2,Orthodox,152.4,152.4,115,25,28,1
Mads Burnell,Mike Santiago,1,0,0,2,562,0,0,0,0,0,0,0,0,Orthodox,177.8,175.26,145,1,0,0,3,686,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,145,28,23,0
Cris Cyborg,Holly Holm,0,1,0,26,1034,3,0,1,1,2,0,0,4,Southpaw,172.72,175.26,145,0,3,0,6,415.3333333,1,0,0,0,3,0,0,3,Orthodox,172.72,172.72,145,36,32,0
Khabib Nurmagomedov,Edson Barboza,0,3,0,40,628.4117647,0,1,1,5,6,0,0,13,Orthodox,180.34,190.5,155,0,8,0,21,714,0,0,0,4,2,2,0,8,Orthodox,177.8,177.8,155,31,29,0
Dan Hooker,Marc Diakiese,0,3,0,6,503.3333333,0,0,0,1,2,0,0,3,Orthodox,177.8,185.42,155,0,1,0,15,576.1428571,0,0,0,0,3,1,0,4,Switch,182.88,190.5,155,24,27,0
Cynthia Calvillo,Carla Esparza,1,0,0,11,760.75,2,0,0,1,0,1,0,2,,154.94,160.02,115,0,3,0,7,641.3333333,0,0,0,1,0,2,0,3,Orthodox,162.56,162.56,115,30,30,1
Carlos Condit,Neil Magny,1,0,0,44,697.6470588,0,0,1,6,4,1,0,12,Orthodox,190.5,203.2,170,2,0,0,38,817.2307692,3,0,1,1,4,0,1,7,Orthodox,187.96,190.5,170,30,33,1
Myles Jury,Rick Glenn,0,2,0,9,900,0,0,1,1,0,0,0,2,Southpaw,182.88,177.8,145,0,1,0,18,521.3333333,0,0,1,2,3,1,0,7,Orthodox,177.8,185.42,145,28,29,0
Louis Smolka,Matheus Nicolau,0,2,0,6,853.5,0,0,1,0,0,1,0,2,,167.64,167.64,125,3,0,0,23,710.1111111,0,0,0,2,2,1,0,5,Orthodox,175.26,172.72,135,24,26,1
Tim Elliott,Mark De La Rosa,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,167.64,165.1,135,1,0,0,25,799.6666667,1,0,0,3,0,0,0,3,Southpaw,170.18,167.64,135,23,31,0
